name,link,price,mileage,BHP,transmission,fuel,owners,body,ULEZ,engine,year
Volkswagen Golf,https://www.autotrader.co.uk/car-details/202110309066060,"£6,990",69000,83,Manual,Petrol,,Hatchback,ULEZ,1.2L,2012 (61 reg)
Volkswagen Golf,https://www.autotrader.co.uk/car-details/202206146797488,"£4,500",123000,103,Manual,Diesel,3,Hatchback,,1.6L,2012 (62 reg)
Volkswagen Golf,https://www.autotrader.co.uk/car-details/202205055375048,"£6,500",91425,138,Manual,Diesel,2,Hatchback,,2.0L,2012 (61 reg)
Volkswagen Golf,https://www.autotrader.co.uk/car-details/202204014210660,"£5,000",80000,103,Manual,Diesel,,Hatchback,,1.6L,2012 (61 reg)
Volkswagen Golf,https://www.autotrader.co.uk/car-details/202204124591873,"£4,995",45000,103,Manual,Diesel,2,Hatchback,,1.6L,2012 (12 reg)
Volkswagen Golf,https://www.autotrader.co.uk/car-details/202206086584265,"£4,190",119264,103,Manual,Diesel,4,Hatchback,,1.6L,2012 (12 reg)
Volkswagen Golf,https://www.autotrader.co.uk/car-details/202206126711203,"£7,499",66000,123,Manual,Petrol,,Hatchback,ULEZ,1.4L,2012 (12 reg)
Volkswagen Golf,https://www.autotrader.co.uk/car-details/202204194783528,"£5,995",68000,103,Manual,Diesel,,Hatchback,,1.6L,2012 (61 reg)
Volkswagen Golf,https://www.autotrader.co.uk/car-details/202206257157612,"£6,495",66000,103,Manual,Diesel,2,Hatchback,,1.6L,2012 (12 reg)
Volkswagen Golf,https://www.autotrader.co.uk/car-details/202206086591717,"£8,000",88000,138,Automatic,Diesel,,Hatchback,,2.0L,2012 (62 reg)
Volkswagen Golf,https://www.autotrader.co.uk/car-details/202206206988199,"£3,100",171200,103,Manual,Diesel,,Hatchback,,1.6L,2012 (12 reg)
Volkswagen Golf,https://www.autotrader.co.uk/car-details/202206247118702,"£6,000",92250,103,Manual,Diesel,,Hatchback,,1.6L,2012 (12 reg)
Volkswagen Golf,https://www.autotrader.co.uk/car-details/202206106653251,"£5,490",98955,103,Manual,Diesel,2,Hatchback,,1.6L,2012 (62 reg)
Volkswagen Golf,https://www.autotrader.co.uk/car-details/202206237073534,"£3,990",166000,103,Manual,Diesel,,Hatchback,,1.6L,2012 (12 reg)
Volkswagen Golf,https://www.autotrader.co.uk/car-details/202203113437213,"£3,794",146000,138,Manual,Diesel,,Hatchback,,2.0L,2012 (61 reg)
Volkswagen Golf,https://www.autotrader.co.uk/car-details/202206247136412,"£6,250",87979,138,Manual,Diesel,3,Hatchback,,2.0L,2012 (62 reg)
Volkswagen Golf,https://www.autotrader.co.uk/car-details/202205215958714,"£4,995",101342,103,Manual,Diesel,5,Hatchback,,1.6L,2012 (62 reg)
Volkswagen Golf,https://www.autotrader.co.uk/car-details/202206227062684,"£9,450",56800,123,Automatic,Petrol,2,Hatchback,ULEZ,1.4L,2012 (12 reg)
Volkswagen Golf,https://www.autotrader.co.uk/car-details/202206206968092,"£4,150",92000,103,Manual,Diesel,2,Hatchback,,1.6L,2012 (61 reg)
Volkswagen Golf,https://www.autotrader.co.uk/car-details/202204275095067,"£9,675",86464,168,Manual,Diesel,,Hatchback,,2.0L,2012 (62 reg)
Volkswagen Golf,https://www.autotrader.co.uk/car-details/202206247128131,"£6,490",72960,123,Manual,Petrol,,Hatchback,ULEZ,1.4L,2012 (62 reg)
Volkswagen Golf,https://www.autotrader.co.uk/car-details/202206247130284,"£7,490",64570,138,Manual,Diesel,3,Hatchback,,2.0L,2012 (12 reg)
Volkswagen Golf,https://www.autotrader.co.uk/car-details/202205175807384,"£6,599",87860,138,Manual,Diesel,3,Hatchback,,2.0L,2012 (62 reg)
Volkswagen Golf,https://www.autotrader.co.uk/car-details/202204204852689,"£6,995",75000,158,Manual,Petrol,,Convertible,ULEZ,1.4L,2012 (62 reg)
Volkswagen Golf,https://www.autotrader.co.uk/car-details/202206156831631,"£8,190",45000,103,Manual,Diesel,,Hatchback,,1.6L,2012 (12 reg)
Volkswagen Golf,https://www.autotrader.co.uk/car-details/202205185855316,"£6,495",84000,123,Manual,Petrol,2,Hatchback,ULEZ,1.4L,2012 (12 reg)
Volkswagen Golf,https://www.autotrader.co.uk/car-details/202206146778873,"£13,950",39000,,Manual,Petrol,,Hatchback,,2.0L,2012 (62 reg)
Volkswagen Golf,https://www.autotrader.co.uk/car-details/202206146784936,"£11,995",77985,207,Automatic,Petrol,4,Hatchback,ULEZ,2.0L,2012 (12 reg)
Volkswagen Golf,https://www.autotrader.co.uk/car-details/202206217025824,"£5,995",75000,138,Automatic,Diesel,3,Hatchback,,2.0L,2012 (62 reg)
Volkswagen Golf,https://www.autotrader.co.uk/car-details/202206076538867,"£5,590",98845,103,Manual,Diesel,4,Hatchback,,1.6L,2012 (12 reg)
Volkswagen Golf,https://www.autotrader.co.uk/car-details/202206036449431,"£4,690",105018,103,Manual,Diesel,2,Hatchback,,1.6L,2012 (12 reg)
Volkswagen Golf,https://www.autotrader.co.uk/car-details/202205306329934,"£5,695",96000,103,Manual,Diesel,2,Hatchback,,1.6L,2012 (12 reg)
Volkswagen Golf,https://www.autotrader.co.uk/car-details/202206196952807,"£5,990",100000,103,Automatic,Diesel,,Hatchback,,1.6L,2012 (62 reg)
Volkswagen Golf,https://www.autotrader.co.uk/car-details/202206156838198,"£6,500",94000,158,Manual,Petrol,,Hatchback,ULEZ,1.4L,2012 (62 reg)
Volkswagen Golf,https://www.autotrader.co.uk/car-details/202203083342496,"£6,945",76967,103,Manual,Diesel,3,Hatchback,,1.6L,2012 (61 reg)
Volkswagen Golf,https://www.autotrader.co.uk/car-details/202204144659562,"£10,500",74000,168,Manual,Diesel,4,Hatchback,,2.0L,2012 (62 reg)
Volkswagen Golf,https://www.autotrader.co.uk/car-details/202206176901899,"£10,570",23000,158,Automatic,Petrol,,Convertible,ULEZ,1.4L,2012 (12 reg)
Volkswagen Golf,https://www.autotrader.co.uk/car-details/202205155720910,"£7,995",65666,138,Manual,Diesel,3,Hatchback,,2.0L,2012 (62 reg)
Volkswagen Golf,https://www.autotrader.co.uk/car-details/202205035291844,"£5,790",93400,123,Manual,Petrol,4,Hatchback,ULEZ,1.4L,2012 (12 reg)
Volkswagen Golf,https://www.autotrader.co.uk/car-details/202206156806974,"£4,950",116000,103,Manual,Diesel,2,Hatchback,,1.6L,2012 (12 reg)
Volkswagen Golf,https://www.autotrader.co.uk/car-details/202205276218737,"£6,584",73400,103,Manual,Diesel,2,Convertible,,1.6L,2012 (12 reg)
Volkswagen Golf,https://www.autotrader.co.uk/car-details/202205276214178,"£6,499",84045,103,Manual,Diesel,4,Hatchback,,1.6L,2012 (62 reg)
Volkswagen Golf,https://www.autotrader.co.uk/car-details/202203073299047,"£5,950",101000,138,Manual,Diesel,,Hatchback,,2.0L,2012 (12 reg)
Volkswagen Golf,https://www.autotrader.co.uk/car-details/202206217010590,"£10,995",73376,207,Manual,Petrol,,Hatchback,ULEZ,2.0L,2012 (12 reg)
Volkswagen Golf,https://www.autotrader.co.uk/car-details/202206257159854,"£4,700",135400,138,Automatic,Diesel,4,Hatchback,,2.0L,2012 (12 reg)
Volkswagen Golf,https://www.autotrader.co.uk/car-details/202206176879593,"£5,795",61000,103,Manual,Diesel,4,Convertible,,1.6L,2012 (62 reg)
Volkswagen Golf,https://www.autotrader.co.uk/car-details/202206116694406,"£8,999",50329,123,Automatic,Petrol,,Hatchback,ULEZ,1.4L,2012 (61 reg)
Volkswagen Golf,https://www.autotrader.co.uk/car-details/202205045343740,"£12,445",59000,168,Automatic,Diesel,3,Hatchback,,2.0L,2012 (62 reg)
Volkswagen Golf,https://www.autotrader.co.uk/car-details/202203223835112,"£6,994",71000,138,Manual,Diesel,2,Hatchback,,2.0L,2012 (12 reg)
Volkswagen Golf,https://www.autotrader.co.uk/car-details/202201251763448,"£6,500",85200,138,Manual,Diesel,,Hatchback,,2.0L,2012 (61 reg)
Volkswagen Golf,https://www.autotrader.co.uk/car-details/202205205901066,"£5,995",109000,138,Manual,Diesel,,Estate,,2.0L,2012 (62 reg)
Volkswagen Golf,https://www.autotrader.co.uk/car-details/202204224912363,"£6,350",97310,123,Manual,Petrol,2,Hatchback,ULEZ,1.4L,2012 (62 reg)
Volkswagen Golf,https://www.autotrader.co.uk/car-details/202203233861903,"£8,194",48614,103,Automatic,Diesel,2,Hatchback,,1.6L,2012 (62 reg)
Volkswagen Golf,https://www.autotrader.co.uk/car-details/202205215967131,"£4,895",110000,103,Manual,Diesel,3,Hatchback,,1.6L,2012 (12 reg)
Volkswagen Golf,https://www.autotrader.co.uk/car-details/202206206956209,"£6,295",63000,103,Manual,Diesel,2,Convertible,,1.6L,2012 (62 reg)
Volkswagen Golf,https://www.autotrader.co.uk/car-details/202206096638406,"£3,800",127000,103,Manual,Diesel,,Hatchback,,1.6L,2012 (12 reg)
Volkswagen Golf,https://www.autotrader.co.uk/car-details/202206146799929,"£3,999",99200,104,Manual,Petrol,4,Hatchback,ULEZ,1.2L,2012 (12 reg)
Volkswagen Golf,https://www.autotrader.co.uk/car-details/202204084437737,"£5,490",121100,103,Automatic,Diesel,,Hatchback,,1.6L,2012 (12 reg)
Volkswagen Golf,https://www.autotrader.co.uk/car-details/202206247129304,"£4,000",145000,103,Manual,Diesel,5,Hatchback,,1.6L,2012 (61 reg)
Volkswagen Golf,https://www.autotrader.co.uk/car-details/202205125632940,"£6,795",62000,103,Manual,Diesel,2,Estate,,1.6L,2012 (12 reg)
Volkswagen Golf,https://www.autotrader.co.uk/car-details/202204204838840,"£6,495",84280,103,Manual,Diesel,,Hatchback,,1.6L,2012 (12 reg)
Volkswagen Golf,https://www.autotrader.co.uk/car-details/202203073277619,"£5,695",85000,85,Manual,Petrol,,Hatchback,ULEZ,1.2L,2012 (62 reg)
Volkswagen Golf,https://www.autotrader.co.uk/car-details/202206227056126,"£5,300",146600,123,Automatic,Petrol,3,Hatchback,ULEZ,1.4L,2012 (12 reg)
Volkswagen Golf,https://www.autotrader.co.uk/car-details/202203263987115,"£6,999",87422,168,Automatic,Diesel,2,Hatchback,,2.0L,2012 (62 reg)
Volkswagen Golf,https://www.autotrader.co.uk/car-details/202206227035566,"£7,199",97166,103,Automatic,Diesel,6,Hatchback,,1.6L,2012 (62 reg)
Volkswagen Golf,https://www.autotrader.co.uk/car-details/202206106656650,"£4,750",135000,103,Manual,Diesel,2,Convertible,,1.6L,2012 (62 reg)
Volkswagen Golf,https://www.autotrader.co.uk/car-details/202206216995477,"£5,895",109000,138,Manual,Diesel,6,Hatchback,,2.0L,2012 (12 reg)
Volkswagen Golf,https://www.autotrader.co.uk/car-details/202205165759669,"£6,194",91000,138,Manual,Diesel,3,Estate,,2.0L,2012 (62 reg)
Volkswagen Golf,https://www.autotrader.co.uk/car-details/202206026425117,"£6,795",76650,123,Manual,Petrol,2,Hatchback,ULEZ,1.4L,2012 (12 reg)
Volkswagen Golf,https://www.autotrader.co.uk/car-details/202206237102553,"£4,790",108500,103,Manual,Diesel,2,Convertible,,1.6L,2012 (62 reg)
Volkswagen Golf,https://www.autotrader.co.uk/car-details/202205175802394,"£7,650",93000,158,Automatic,Petrol,2,Hatchback,ULEZ,1.4L,2012 (12 reg)
Volkswagen Golf,https://www.autotrader.co.uk/car-details/202206186923545,"£6,499",88000,123,Manual,Petrol,2,Hatchback,ULEZ,1.4L,2012 (61 reg)
Volkswagen Golf,https://www.autotrader.co.uk/car-details/202206076552941,"£4,990",118000,103,Manual,Diesel,,Hatchback,,1.6L,2012 (62 reg)
Volkswagen Golf,https://www.autotrader.co.uk/car-details/202206086580845,"£10,485",103000,232,Manual,Petrol,,Hatchback,ULEZ,2.0L,2012 (61 reg)
Volkswagen Golf,https://www.autotrader.co.uk/car-details/202206106659779,"£5,550",70000,123,Manual,Petrol,4,Hatchback,ULEZ,1.4L,2012 (62 reg)
Volkswagen Golf,https://www.autotrader.co.uk/car-details/202203314170307,"£5,695",98166,138,Manual,Diesel,2,Convertible,,2.0L,2012 (12 reg)
Volkswagen Golf,https://www.autotrader.co.uk/car-details/202206156817770,"£5,999",72887,103,Manual,Diesel,3,Hatchback,,1.6L,2012 (12 reg)
Volkswagen Golf,https://www.autotrader.co.uk/car-details/202206247122743,"£5,750",100000,103,Automatic,Diesel,,Hatchback,,1.6L,2012 (12 reg)
Volkswagen Golf,https://www.autotrader.co.uk/car-details/202206196950222,"£5,520",90765,138,Manual,Diesel,2,Hatchback,,2.0L,2012 (12 reg)
Volkswagen Golf,https://www.autotrader.co.uk/car-details/202206247129340,"£5,995",85186,103,Manual,Diesel,3,Hatchback,,1.6L,2012 (12 reg)
Volkswagen Golf,https://www.autotrader.co.uk/car-details/202206056484350,"£7,495",86182,120,Manual,Petrol,2,Hatchback,ULEZ,1.4L,2012 (62 reg)
Volkswagen Golf,https://www.autotrader.co.uk/car-details/202206206970424,"£11,650",18000,158,Automatic,Petrol,3,Convertible,ULEZ,1.4L,2012 (12 reg)
Volkswagen Golf,https://www.autotrader.co.uk/car-details/202205306303333,"£4,850",117000,103,Manual,Diesel,3,Hatchback,,1.6L,2012 (12 reg)
Volkswagen Golf,https://www.autotrader.co.uk/car-details/202205316362080,"£5,195",99000,85,Manual,Petrol,3,Hatchback,ULEZ,1.2L,2012 (62 reg)
Volkswagen Golf,https://www.autotrader.co.uk/car-details/202206096621092,"£4,995",122000,138,Manual,Diesel,3,Hatchback,,2.0L,2012 (12 reg)
Volkswagen Golf,https://www.autotrader.co.uk/car-details/202202222835768,"£4,395",130103,103,Manual,Diesel,3,Hatchback,,1.6L,2012 (62 reg)
Volkswagen Golf,https://www.autotrader.co.uk/car-details/202206227047579,"£6,795",72500,104,Automatic,Petrol,2,Hatchback,ULEZ,1.2L,2012 (12 reg)
Volkswagen Golf,https://www.autotrader.co.uk/car-details/202204064359682,"£7,404",79000,138,Manual,Diesel,6,Hatchback,,2.0L,2012 (62 reg)
Volkswagen Golf,https://www.autotrader.co.uk/car-details/202206237074757,"£5,400",92700,103,Manual,Diesel,3,Hatchback,,1.6L,2012 (12 reg)
Volkswagen Golf,https://www.autotrader.co.uk/car-details/202203223819998,"£8,098",62200,123,Manual,Petrol,3,Hatchback,ULEZ,1.4L,2012 (62 reg)
Volkswagen Golf,https://www.autotrader.co.uk/car-details/202205246056204,"£9,395",41798,123,Manual,Petrol,,Hatchback,ULEZ,1.4L,2012 (62 reg)
Volkswagen Golf,https://www.autotrader.co.uk/car-details/202205135648753,"£3,800",113000,103,Manual,Diesel,4,Convertible,,1.6L,2012 (12 reg)
Volkswagen Golf,https://www.autotrader.co.uk/car-details/202204204847208,"£18,500",72000,266,Automatic,Petrol,,Hatchback,ULEZ,2.0L,2012 (62 reg)
