name,link,price,mileage,BHP,transmission,fuel,owners,body,ULEZ,engine,year
Volkswagen Polo,https://www.autotrader.co.uk/car-details/202205316360460,"£1,745",79000,75,Manual,Petrol,2,Hatchback,ULEZ,1.4L,2005 (05 reg)
Volkswagen Polo,https://www.autotrader.co.uk/car-details/202206287226389,"£2,395",95000,75,Manual,Petrol,,Hatchback,ULEZ,1.4L,2005 (05 reg)
Volkswagen Polo,https://www.autotrader.co.uk/car-details/202206186920898,"£1,999",65525,65,Manual,Petrol,3,Hatchback,ULEZ,1.2L,2005 (05 reg)
Volkswagen Polo,https://www.autotrader.co.uk/car-details/202205195897854,"£1,450",93552,55,Manual,Petrol,5,Hatchback,ULEZ,1.2L,2005 (54 reg)
Volkswagen Polo,https://www.autotrader.co.uk/car-details/202205246047266,"£1,050",100987,69,Manual,Diesel,,Hatchback,,1.4L,2005 (55 reg)
Volkswagen Polo,https://www.autotrader.co.uk/car-details/202202222833809,"£3,390",72350,74,Automatic,Petrol,,Hatchback,ULEZ,1.4L,2005 (05 reg)
Volkswagen Polo,https://www.autotrader.co.uk/car-details/202206156830010,"£1,400",113623,74,Manual,Petrol,5,Hatchback,ULEZ,1.4L,2005 (55 reg)
Volkswagen Polo,https://www.autotrader.co.uk/car-details/202203294071056,"£3,490",89000,75,Automatic,Petrol,,Hatchback,ULEZ,1.4L,2005 (05 reg)
Volkswagen Polo,https://www.autotrader.co.uk/car-details/202206267177114,"£2,195",54000,55,Manual,Petrol,5,Hatchback,ULEZ,1.2L,2005 (05 reg)
Volkswagen Polo,https://www.autotrader.co.uk/car-details/202206247128338,"£2,795",64400,65,Manual,Petrol,,Hatchback,ULEZ,1.2L,2005 (05 reg)
Volkswagen Polo,https://www.autotrader.co.uk/car-details/202202052192051,"£1,500",112695,74,Manual,Petrol,,Hatchback,ULEZ,1.4L,2005 (55 reg)
Volkswagen Polo,https://www.autotrader.co.uk/car-details/202205195882221,"£4,098",33000,74,Manual,Petrol,2,Hatchback,ULEZ,1.4L,2005 (55 reg)
Volkswagen Polo,https://www.autotrader.co.uk/car-details/202206237068473,"£5,495",32000,74,Automatic,Petrol,,Hatchback,ULEZ,1.4L,2005 (55 reg)
Volkswagen Polo,https://www.autotrader.co.uk/car-details/202203173647183,"£3,799",48000,75,Automatic,Petrol,,Hatchback,ULEZ,1.4L,2005 (05 reg)
Volkswagen Polo,https://www.autotrader.co.uk/car-details/202205125626415,"£2,495",77000,65,Manual,Petrol,,Hatchback,ULEZ,1.2L,2005 (55 reg)
Volkswagen Polo,https://www.autotrader.co.uk/car-details/202203113451283,"£2,000",105834,74,Manual,Petrol,5,Hatchback,ULEZ,1.4L,2005 (55 reg)
Volkswagen Polo,https://www.autotrader.co.uk/car-details/202206287243504,"£2,000",72139,65,Manual,Petrol,3,Hatchback,ULEZ,1.2L,2005 (05 reg)
Volkswagen Polo,https://www.autotrader.co.uk/car-details/202205055377404,"£1,490",107000,75,Manual,Diesel,4,Hatchback,,1.4L,2005 (05 reg)
Volkswagen Polo,https://www.autotrader.co.uk/car-details/202206257156134,"£1,400",123000,74,Manual,Petrol,6,Hatchback,ULEZ,1.4L,2005 (55 reg)
Volkswagen Polo,https://www.autotrader.co.uk/car-details/202204084463435,"£1,389",90000,75,Manual,Petrol,,Hatchback,ULEZ,1.4L,2005 (05 reg)
Volkswagen Polo,https://www.autotrader.co.uk/car-details/202206206961703,"£2,800",79000,75,Manual,Petrol,,Hatchback,ULEZ,1.4L,2005 (05 reg)
Volkswagen Polo,https://www.autotrader.co.uk/car-details/202205306323635,£595,94710,55,Manual,Petrol,,Hatchback,ULEZ,1.2L,2006 (06 reg)
Volkswagen Polo,https://www.autotrader.co.uk/car-details/202206217020106,"£1,399",136000,55,Manual,Petrol,,Hatchback,ULEZ,1.2L,2006 (06 reg)
Volkswagen Polo,https://www.autotrader.co.uk/car-details/202201251762874,"£1,295",91000,55,Manual,Petrol,,Hatchback,ULEZ,1.2L,2006 (06 reg)
Volkswagen Polo,https://www.autotrader.co.uk/car-details/202206267174322,£775,105000,55,Manual,Petrol,2,Hatchback,ULEZ,1.2L,2006 (06 reg)
Volkswagen Polo,https://www.autotrader.co.uk/car-details/202206247133635,£995,198000,69,Manual,Diesel,5,Hatchback,,1.4L,2006 (06 reg)
Volkswagen Polo,https://www.autotrader.co.uk/car-details/202206026419257,"£1,495",123073,69,Manual,Diesel,,Hatchback,,1.4L,2006 (06 reg)
Volkswagen Polo,https://www.autotrader.co.uk/car-details/202206237083693,"£2,995",47000,79,Manual,Petrol,,Hatchback,ULEZ,1.4L,2006 (06 reg)
Volkswagen Polo,https://www.autotrader.co.uk/car-details/202205266209204,"£2,350",103305,79,Manual,Petrol,,Hatchback,ULEZ,1.4L,2006 (06 reg)
Volkswagen Polo,https://www.autotrader.co.uk/car-details/202203213788144,"£1,795",112000,55,Manual,Petrol,,Hatchback,ULEZ,1.2L,2006 (06 reg)
Volkswagen Polo,https://www.autotrader.co.uk/car-details/202204134630355,"£2,395",90596,55,Manual,Petrol,,Hatchback,ULEZ,1.2L,2006 (06 reg)
Volkswagen Polo,https://www.autotrader.co.uk/car-details/202206267175945,"£1,250",113495,65,Manual,Petrol,5,Hatchback,ULEZ,1.2L,2006 (06 reg)
Volkswagen Polo,https://www.autotrader.co.uk/car-details/202205045321922,"£2,499",78290,79,Manual,Petrol,4,Hatchback,ULEZ,1.4L,2006 (56 reg)
Volkswagen Polo,https://www.autotrader.co.uk/car-details/202205145707147,"£2,445",88000,74,Manual,Petrol,,Hatchback,ULEZ,1.4L,2006 (55 reg)
Volkswagen Polo,https://www.autotrader.co.uk/car-details/202202172644152,"£4,000",44000,74,Automatic,Petrol,,Hatchback,ULEZ,1.4L,2006 (06 reg)
Volkswagen Polo,https://www.autotrader.co.uk/car-details/202205215957040,"£3,795",70000,74,Automatic,Petrol,,Hatchback,ULEZ,1.4L,2006 (55 reg)
Volkswagen Polo,https://www.autotrader.co.uk/car-details/202205185836701,"£1,795",127700,55,Manual,Petrol,3,Hatchback,ULEZ,1.2L,2006 (06 reg)
Volkswagen Polo,https://www.autotrader.co.uk/car-details/202111290055581,"£2,695",74000,55,Manual,Petrol,4,Hatchback,ULEZ,1.2L,2006 (06 reg)
Volkswagen Polo,https://www.autotrader.co.uk/car-details/202206146795364,"£2,650",93000,74,Automatic,Petrol,,Hatchback,ULEZ,1.4L,2006 (06 reg)
Volkswagen Polo,https://www.autotrader.co.uk/car-details/202205015234591,"£2,995",60782,74,Manual,Petrol,,Hatchback,ULEZ,1.4L,2006 (06 reg)
Volkswagen Polo,https://www.autotrader.co.uk/car-details/202206267167530,"£2,495",107202,74,Manual,Petrol,,Hatchback,ULEZ,1.4L,2006 (06 reg)
Volkswagen Polo,https://www.autotrader.co.uk/car-details/202205225987010,"£4,350",125800,148,Manual,Petrol,4,Hatchback,ULEZ,1.8L,2006 (56 reg)
